slug	rank	date	genre	artist	album	year
Chairlift - Something	34	January 24, 2012	Electropop	Chairlift	Something	2012
Actress - R.I.P.	33	April 24, 2012	Experimental	Actress	R.I.P.	2012
Action Bronson / Party Supplies - Blue Chips	32	March 12, 2012	Hip Hop	Action Bronson / Party Supplies	Blue Chips	2012
Spiritualized - Sweet Heart Sweet Light	31	April 17, 2012	Space Rock	Spiritualized	Sweet Heart Sweet Light	2012
The Men - Open Your Heart	30	March 6, 2012	Noise Rock	The Men	Open Your Heart	2012
Cat Power - Sun	29	September 4, 2012	Singer-Songwriter	Cat Power	Sun	2012
How to Dress Well - Total Loss	28	September 18, 2012	Ambient Pop	How to Dress Well	Total Loss	2012
John Talabot - ƒIN	27	February 14, 2012	Deep House	John Talabot	ƒIN	2012
Julia Holter - Ekstasis	26	March 6, 2012	Art Pop	Julia Holter	Ekstasis	2012
Schoolboy Q - Habits & Contradictions	25	January 14, 2012	Hip Hop	Schoolboy Q	Habits & Contradictions	2012
Purity Ring - Shrines	24	July 24, 2012	Synthpop	Purity Ring	Shrines	2012
Miguel - Kaleidoscope Dream	23	October 2, 2012	R&B	Miguel	Kaleidoscope Dream	2012
Flying Lotus - Until the Quiet Comes	22	October 2, 2012	IDM	Flying Lotus	Until the Quiet Comes	2012
Ariel Pink's Haunted Graffiti - Mature Themes	21	August 21, 2012	Psychedelic Pop	Ariel Pink's Haunted Graffiti	Mature Themes	2012
Jessie Ware - Devotion	20	August 20, 2012	Soul	Jessie Ware	Devotion	2012
Cloud Nothings - Attack on Memory	19	January 24, 2012	Indie Rock	Cloud Nothings	Attack on Memory	2012
Ty Segall Band - Slaughterhouse	18	June 26, 2012	Garage Rock	Ty Segall Band	Slaughterhouse	2012
Ty Segall & White Fence - Hair	18	April 24, 2012	Garage Rock	Ty Segall & White Fence	Hair	2012
Bat For Lashes - The Haunted Man	17	October 15, 2012	Art Pop	Bat For Lashes	The Haunted Man	2012
Burial - Kindred	16	February 12, 2012	Dubstep	Burial	Kindred	2012
Dirty Projectors - Swing Lo Magellan	15	July 10, 2012	Art Pop	Dirty Projectors	Swing Lo Magellan	2012
Andy Stott - Luxury Problems	14	October 29, 2012	Dub Techno	Andy Stott	Luxury Problems	2012
Killer Mike - R.A.P. Music	13	May 15, 2012	Hip Hop	Killer Mike	R.A.P. Music	2012
Godspeed You! Black Emperor - 'Allelujah! Don't Bend! Ascend!	12	October 16, 2012	Post-Rock	Godspeed You! Black Emperor	'Allelujah! Don't Bend! Ascend!	2012
Japandroids - Celebration Rock	11	June 5, 2012	Garage Rock	Japandroids	Celebration Rock	2012
Grizzly Bear - Shields	10	September 18, 2012	Indie Folk	Grizzly Bear	Shields	2012
Death Grips - The Money Store	9	April 21, 2012	Hip Hop	Death Grips	The Money Store	2012
Chromatics - Kill for Love	8	March 26, 2012	Synthpop	Chromatics	Kill for Love	2012
Beach House - Bloom	7	May 15, 2012	Dream Pop	Beach House	Bloom	2012
Grimes - Visions	6	February 21, 2012	Synthpop	Grimes	Visions	2012
Swans - The Seer	5	August 28, 2012	Post-Rock	Swans	The Seer	2012
Tame Impala - Lonerism	4	October 9, 2012	Psychedelic Rock	Tame Impala	Lonerism	2012
Fiona Apple - The Idler Wheel	3	June 19, 2012	Singer-Songwriter	Fiona Apple	The Idler Wheel	2012
Frank Ocean - Channel Orange	2	July 17, 2012	Alternative R&B	Frank Ocean	Channel Orange	2012
Kendrick Lamar - good kid, m.A.A.d. city	1	October 22, 2012	Hip Hop	Kendrick Lamar	good kid, m.A.A.d. city	2012
Pusha T - My Name Is My Name	50	October 8, 2013	Hip Hop	Pusha T	My Name Is My Name	2013
Julia Holter - Loud City Song	49	August 19, 2013	Art Pop	Julia Holter	Loud City Song	2013
Speedy Ortiz - Major Arcana	48	July 9, 2013	Grunge	Speedy Ortiz	Major Arcana	2013
The Range - Nonfiction	47	October 14, 2013	IDM	The Range	Nonfiction	2013
M.I.A. - Matangi	46	November 5, 2013	Electropop	M.I.A.	Matangi	2013
Fuck Buttons - Slow Focus	45	July 23, 2013	Electronic	Fuck Buttons	Slow Focus	2013
Justin Timberlake - The 20/20 Experience	44	March 19, 2013	Pop	Justin Timberlake	The 20/20 Experience	2013
The National - Trouble Will Find Me	43	May 21, 2013	Indie Rock	The National	Trouble Will Find Me	2013
Rhye - Woman	42	March 5, 2013	Soul	Rhye	Woman	2013
Mutual Benefit - Love's Crushing Diamond	41	October 25, 2013	Indie Folk	Mutual Benefit	Love's Crushing Diamond	2013
Parquet Courts - Light Up Gold	40	August 18, 2012	Garage Rock	Parquet Courts	Light Up Gold	2013
A$AP Rocky - Long.Live.A$AP	39	January 15, 2013	Hip Hop	A$AP Rocky	Long.Live.A$AP	2013
Boards of Canada - Tomorrow's Harvest	38	June 11, 2013	Electronic	Boards of Canada	Tomorrow's Harvest	2013
Jon Hopkins - Immunity	37	June 3, 2013	Microhouse	Jon Hopkins	Immunity	2013
CHVRCHES - The Bones of What You Believe	36	September 24, 2013	Synthpop	CHVRCHES	The Bones of What You Believe	2013
Phosphorescent - Muchacho	35	March 19, 2013	Americana	Phosphorescent	Muchacho	2013
Forest Swords - Engravings	34	August 26, 2013	Experimental	Forest Swords	Engravings	2013
Burial - Truant / Rough Sleeper	33	December 17, 2012	Dubstep	Burial	Truant / Rough Sleeper	2013
DJ Koze - Amygdala	32	March 25, 2013	Deep House	DJ Koze	Amygdala	2013
Autre Ne Veut - Anxiety	31	February 26, 2013	R&B	Autre Ne Veut	Anxiety	2013
Deerhunter - Monomania	30	May 3, 2013	Indie Rock	Deerhunter	Monomania	2013
The Haxan Cloak - Excavation	29	April 15, 2013	Drone	The Haxan Cloak	Excavation	2013
Run the Jewels - Run the Jewels	28	June 26, 2013	Hip Hop	Run the Jewels	Run the Jewels	2013
Neko Case - The Worse Things Get ...	27	September 3, 2013	Singer-Songwriter	Neko Case	The Worse Things Get ...	2013
James Blake - Overgrown	26	April 8, 2013	Art Pop	James Blake	Overgrown	2013
Drake - Nothing Was the Same	25	September 24, 2013	Hip Hop	Drake	Nothing Was the Same	2013
Oneohtrix Point Never - R Plus Seven	24	October 1, 2013	Electronic	Oneohtrix Point Never	R Plus Seven	2013
DJ Rashad - Double Cup	23	October 22, 2013	Footwork	DJ Rashad	Double Cup	2013
Waxahatchee - Cerulean Salt	22	March 5, 2013	Singer-Songwriter	Waxahatchee	Cerulean Salt	2013
Blood Orange - Cupid Deluxe	21	November 18, 2013	R&B	Blood Orange	Cupid Deluxe	2013
Jai Paul - Jai Paul	20	April 1, 2013	Alternative R&B	Jai Paul	Jai Paul	2013
Earl Sweatshirt - Doris	19	August 20, 2013	Hip Hop	Earl Sweatshirt	Doris	2013
Janelle Monáe - The Electric Lady	18	September 10, 2013	R&B	Janelle Monáe	The Electric Lady	2013
HAIM - Days Are Gone	17	September 30, 2013	Indie Rock	HAIM	Days Are Gone	2013
Bill Callahan - Dream River	16	September 17, 2013	Singer-Songwriter	Bill Callahan	Dream River	2013
Sky Ferreira - Night Time, My Time	15	October 29, 2013	Synthpop	Sky Ferreira	Night Time, My Time	2013
The Knife - Shaking the Habitual	14	April 8, 2013	Electronic	The Knife	Shaking the Habitual	2013
Kurt Vile - Wakin on a Pretty Daze	13	April 9, 2013	Folk Rock	Kurt Vile	Wakin on a Pretty Daze	2013
Chance The Rapper - Acid Rap	12	April 30, 2013	Hip Hop	Chance The Rapper	Acid Rap	2013
Darkside - Psychic	11	October 8, 2013	Art Pop	Darkside	Psychic	2013
Arcade Fire - Reflektor	10	October 29, 2013	Indie Rock	Arcade Fire	Reflektor	2013
Savages - Silence Yourself	9	May 6, 2013	Post-Punk	Savages	Silence Yourself	2013
Majical Cloudz - Impersonator	8	May 21, 2013	Ambient Pop	Majical Cloudz	Impersonator	2013
Daft Punk - Random Access Memories	7	May 21, 2013	Nu-Disco	Daft Punk	Random Access Memories	2013
Deafheaven - Sunbather	6	June 11, 2013	Blackgaze	Deafheaven	Sunbather	2013
Danny Brown - OLD	5	October 8, 2013	Hip Hop	Danny Brown	OLD	2013
My Bloody Valentine - m b v	4	February 3, 2013	Shoegaze	My Bloody Valentine	m b v	2013
Disclosure - Settle	3	June 3, 2013	Electronic	Disclosure	Settle	2013
Kanye West - Yeezus	2	June 18, 2013	Hip Hop	Kanye West	Yeezus	2013
Vampire Weekend - Modern Vampires of the City	1	May 14, 2013	Indie Rock	Vampire Weekend	Modern Vampires of the City	2013
Ben Frost - A U R O R A	50	May 26, 2014	Dark Ambient	Ben Frost	A U R O R A	2014
Mr Twin Sister - Mr Twin Sister	49	September 23, 2014	Dream Pop	Mr Twin Sister	Mr Twin Sister	2014
Clark - Clark	48	November 3, 2014	IDM	Clark	Clark	2014
Shellac - Dude Incredible	47	September 16, 2014	Noise Rock	Shellac	Dude Incredible	2014
Ariana Grande - My Everything	46	August 25, 2014	R&B	Ariana Grande	My Everything	2014
Andy Stott - Faith in Strangers	45	November 18, 2014	Electronic	Andy Stott	Faith in Strangers	2014
A Sunny Day in Glasgow - Sea When Absent	44	June 24, 2014	Shoegaze	A Sunny Day in Glasgow	Sea When Absent	2014
Freddie Gibbs & Madlib - Piñata	43	March 18, 2014	Hip Hop	Freddie Gibbs & Madlib	Piñata	2014
Owen Pallett - In Conflict	42	May 27, 2014	Chamber Pop	Owen Pallett	In Conflict	2014
Leon Vynehall - Music for the Uninvited	41	March 17, 2014	Deep House	Leon Vynehall	Music for the Uninvited	2014
Ty Segall - Manipulator	40	August 26, 2014	Garage Rock	Ty Segall	Manipulator	2014
Ought - More Than Any Other Day	39	April 29, 2014	Post-Punk	Ought	More Than Any Other Day	2014
Hundred Waters - The Moon Rang Like A Bell	38	May 27, 2014	Art Pop	Hundred Waters	The Moon Rang Like A Bell	2014
Perfect Pussy - Say Yes to Love	37	March 18, 2014	Noise Rock	Perfect Pussy	Say Yes to Love	2014
Tinashe - Aquarius	36	October 7, 2014	Alternative R&B	Tinashe	Aquarius	2014
Shabazz Palaces - Lese Majesty	35	July 29, 2014	Hip Hop	Shabazz Palaces	Lese Majesty	2014
Cloud Nothings - Here and Nowhere Else	34	April 1, 2014	Indie Rock	Cloud Nothings	Here and Nowhere Else	2014
Rich Gang - Tha Tour Part 1	33	September 29, 2014	Hip Hop	Rich Gang	Tha Tour Part 1	2014
White Lung - Deep Fantasy	32	June 17, 2014	Noise Rock	White Lung	Deep Fantasy	2014
Taylor Swift - 1989	31	October 27, 2014	Pop	Taylor Swift	1989	2014
Iceage - Plowing Into the Field of Love	30	October 7, 2014	Post-Punk	Iceage	Plowing Into the Field of Love	2014
How to Dress Well - What Is This Heart?	29	June 24, 2014	Alternative R&B	How to Dress Well	What Is This Heart?	2014
Pharmakon - Bestial Burden	28	October 14, 2014	Death Industrial	Pharmakon	Bestial Burden	2014
YG - My Krazy Life	27	March 18, 2014	Hip Hop	YG	My Krazy Life	2014
Ex Hex - Rips	26	October 7, 2014	Indie Rock	Ex Hex	Rips	2014
Azealia Banks - Broke With Expensive Taste	25	November 6, 2014	Hip Hop	Azealia Banks	Broke With Expensive Taste	2014
Parquet Courts - Sunbathing Animal	24	June 3, 2014	Garage Rock	Parquet Courts	Sunbathing Animal	2014
Lykke Li - I Never Learn	23	May 5, 2014	Indie Pop	Lykke Li	I Never Learn	2014
Future Islands - Singles	22	March 25, 2014	Synthpop	Future Islands	Singles	2014
Eno • Hyde - High Life	21	June 30, 2014	Art Rock	Eno • Hyde	High Life	2014
Vince Staples - Hell Can Wait	20	October 7, 2014	Hip Hop	Vince Staples	Hell Can Wait	2014
Sharon Van Etten - Are We There	19	May 27, 2014	Singer-Songwriter	Sharon Van Etten	Are We There	2014
Arca - Xen	18	November 4, 2014	Electronic	Arca	Xen	2014
Flying Lotus - You're Dead!	17	October 7, 2014	Electronic	Flying Lotus	You're Dead!	2014
St. Vincent - St. Vincent	16	February 25, 2014	Art Pop	St. Vincent	St. Vincent	2014
Angel Olsen - Burn Your Fire for No Witness	15	February 18, 2014	Singer-Songwriter	Angel Olsen	Burn Your Fire for No Witness	2014
Real Estate - Atlas	14	March 4, 2014	Indie Rock	Real Estate	Atlas	2014
Spoon - They Want My Soul	13	August 5, 2014	Indie Rock	Spoon	They Want My Soul	2014
Mac DeMarco - Salad Days	12	April 1, 2014	Singer-Songwriter	Mac DeMarco	Salad Days	2014
Perfume Genius - Too Bright	11	September 23, 2014	Art Pop	Perfume Genius	Too Bright	2014
Caribou - Our Love	10	October 7, 2014	Electronic	Caribou	Our Love	2014
Ariel Pink - pom pom	9	November 18, 2014	Psychedelic Pop	Ariel Pink	pom pom	2014
Todd Terje - It's Album Time	8	April 8, 2014	Nu-Disco	Todd Terje	It's Album Time	2014
Sun Kil Moon - Benji	7	February 11, 2014	Singer-Songwriter	Sun Kil Moon	Benji	2014
Swans - To Be Kind	6	May 13, 2014	Experimental Rock	Swans	To Be Kind	2014
Grouper - Ruins	5	October 31, 2014	Ambient	Grouper	Ruins	2014
Aphex Twin - Syro	4	September 23, 2014	IDM	Aphex Twin	Syro	2014
The War on Drugs - Lost in the Dream	3	March 18, 2014	Heartland Rock	The War on Drugs	Lost in the Dream	2014
FKA twigs - LP1	2	August 12, 2014	Alternative R&B	FKA twigs	LP1	2014
Run the Jewels - Run the Jewels 2	1	October 28, 2014	Hip Hop	Run the Jewels	Run the Jewels 2	2014
DAWN - Blackheart	50	January 15, 2015	Alternative R&B	DAWN	Blackheart	2015
Natalie Prass - Natalie Prass	49	January 27, 2015	Chamber Pop	Natalie Prass	Natalie Prass	2015
Shamir - Ratchet	48	May 19, 2015	Electropop	Shamir	Ratchet	2015
DJ Koze - DJ-Kicks	47	June 15, 2015	Downtempo	DJ Koze	DJ-Kicks	2015
Tobias Jesso Jr. - Goon	46	March 17, 2015	Singer-Songwriter	Tobias Jesso Jr.	Goon	2015
Jim O'Rourke - Simple Songs	45	May 19, 2015	Chamber Pop	Jim O'Rourke	Simple Songs	2015
Jazmine Sullivan - Reality Show	44	January 13, 2015	R&B	Jazmine Sullivan	Reality Show	2015
Destroyer - Poison Season	43	August 28, 2015	Chamber Pop	Destroyer	Poison Season	2015
Jenny Hval - Apocalypse, girl	42	June 9, 2015	Art Pop	Jenny Hval	Apocalypse, girl	2015
Jeremih - Late Nights: The Album	41	December 4, 2015	R&B	Jeremih	Late Nights: The Album	2015
Jlin - Dark Energy	40	March 24, 2015	Footwork	Jlin	Dark Energy	2015
Holly Herndon - Platform	39	May 19, 2015	Art Pop	Holly Herndon	Platform	2015
Arca - Mutant	38	November 20, 2015	Electronic	Arca	Mutant	2015
Empress Of - Me	37	September 11, 2015	Electropop	Empress Of	Me	2015
Janet Jackson - Unbreakable	36	October 2, 2015	R&B	Janet Jackson	Unbreakable	2015
Neon Indian - VEGA INTL. Night School	35	October 16, 2015	Chillwave	Neon Indian	VEGA INTL. Night School	2015
Carly Rae Jepsen - E•MO•TION	34	August 21, 2015	Dance Pop	Carly Rae Jepsen	E•MO•TION	2015
Archy Marshall - A New Place 2 Drown	33	December 10, 2015	Hip Hop	Archy Marshall	A New Place 2 Drown	2015
Dr. Dre - Compton: A Soundtrack by Dr. Dre	32	August 7, 2015	Hip Hop	Dr. Dre	Compton: A Soundtrack by Dr. Dre	2015
Kelela - Hallucinogen	31	October 9, 2015	Alternative R&B	Kelela	Hallucinogen	2015
Deerhunter - Fading Frontier	30	October 16, 2015	Indie Rock	Deerhunter	Fading Frontier	2015
Rae Sremmurd - SremmLife	29	January 6, 2015	Hip Hop	Rae Sremmurd	SremmLife	2015
Beach House - Depression Cherry	28	August 28, 2015	Dream Pop	Beach House	Depression Cherry	2015
Sleater-Kinney - No Cities to Love	27	January 20, 2015	Indie Rock	Sleater-Kinney	No Cities to Love	2015
Deafheaven - New Bermuda	26	October 2, 2015	Atmospheric Black Metal	Deafheaven	New Bermuda	2015
Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	25	March 23, 2015	Hip Hop	Earl Sweatshirt	I Don't Like Shit, I Don't Go Outside	2015
Thundercat - The Beyond / Where the Giants Roam	24	June 22, 2015	Neo-Soul	Thundercat	The Beyond / Where the Giants Roam	2015
Kurt Vile - b'lieve i'm goin down	23	September 25, 2015	Singer-Songwriter	Kurt Vile	b'lieve i'm goin down	2015
Panda Bear - Panda Bear Meets the Grim Reaper	22	January 13, 2015	Psychedelic Pop	Panda Bear	Panda Bear Meets the Grim Reaper	2015
Donnie Trumpet & The Social Experiment - Surf	21	May 29, 2015	Neo-Soul	Donnie Trumpet & The Social Experiment	Surf	2015
Floating Points - Elaenia	20	November 6, 2015	Electronic	Floating Points	Elaenia	2015
Future - DS2	19	July 17, 2015	Hip Hop	Future	DS2	2015
Julia Holter - Have You in My Wilderness	18	September 25, 2015	Art Pop	Julia Holter	Have You in My Wilderness	2015
Drake - If You're Reading This It's Too Late	17	February 12, 2015	Hip Hop	Drake	If You're Reading This It's Too Late	2015
FKA twigs - M3LL155X	16	August 13, 2015	Art Pop	FKA twigs	M3LL155X	2015
Björk - Vulnicura	15	January 20, 2015	Art Pop	Björk	Vulnicura	2015
Young Thug - Barter 6	14	April 16, 2015	Hip Hop	Young Thug	Barter 6	2015
Joanna Newsom - Divers	13	October 23, 2015	Singer-Songwriter	Joanna Newsom	Divers	2015
Father John Misty - I Love You, Honeybear	12	February 10, 2015	Singer-Songwriter	Father John Misty	I Love You, Honeybear	2015
Oneohtrix Point Never - Garden of Delete	11	November 13, 2015	Electronic	Oneohtrix Point Never	Garden of Delete	2015
Kamasi Washington - The Epic	10	May 5, 2015	Jazz Fusion	Kamasi Washington	The Epic	2015
Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	9	March 24, 2015	Indie Rock	Courtney Barnett	Sometimes I Sit and Think, and Sometimes I Just Sit	2015
Miguel - Wildheart	8	June 30, 2015	Alternative R&B	Miguel	Wildheart	2015
D'Angelo - Black Messiah	7	December 15, 2014	Neo-Soul	D'Angelo	Black Messiah	2015
Sufjan Stevens - Carrie & Lowell	6	March 31, 2015	Indie Folk	Sufjan Stevens	Carrie & Lowell	2015
Tame Impala - Currents	5	July 17, 2015	Psychedelic Pop	Tame Impala	Currents	2015
Vince Staples - Summertime '06	4	June 30, 2015	Hip Hop	Vince Staples	Summertime '06	2015
Grimes - Art Angels	3	November 6, 2015	Art Pop	Grimes	Art Angels	2015
Jamie xx - In Colour	2	June 1, 2015	UK Bass	Jamie xx	In Colour	2015
Kendrick Lamar - To Pimp a Butterfly	1	March 16, 2015	Hip Hop	Kendrick Lamar	To Pimp a Butterfly	2015
21 Savage & Metro Boomin - Savage Mode	50	July 14, 2016	Hip Hop	21 Savage & Metro Boomin	Savage Mode	2016
Porches - Pool	49	February 5, 2016	Synthpop	Porches	Pool	2016
Frankie Cosmos - Next Thing	48	April 1, 2016	Indie Pop	Frankie Cosmos	Next Thing	2016
Kamaiyah - A Good Night in the Ghetto	47	March 14, 2016	Hip Hop	Kamaiyah	A Good Night in the Ghetto	2016
Pinegrove - Cardinal	46	February 12, 2016	Indie Rock	Pinegrove	Cardinal	2016
William Tyler - Modern Country	45	June 3, 2016	Folk	William Tyler	Modern Country	2016
Kevin Gates - Islah	44	January 29, 2016	Hip Hop	Kevin Gates	Islah	2016
Weyes Blood - Front Row Seat to Earth	43	October 21, 2016	Psychedelic Folk	Weyes Blood	Front Row Seat to Earth	2016
Vince Staples - Prima Donna	42	August 25, 2016	Hip Hop	Vince Staples	Prima Donna	2016
Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	41	June 10, 2016	Ambient	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	2016
Vijay Iyer & Wadada Leo Smith - A Cosmic Rhythm with Each Stroke	40	March 11, 2016	Avant-Garde Jazz	Vijay Iyer & Wadada Leo Smith	A Cosmic Rhythm with Each Stroke	2016
Moodymann - DJ-Kicks	39	February 19, 2016	Deep House	Moodymann	DJ-Kicks	2016
Schoolboy Q - Blank Face LP	38	July 8, 2016	Hip Hop	Schoolboy Q	Blank Face LP	2016
King - We Are King	37	February 5, 2016	R&B	King	We Are King	2016
Jamila Woods - HEAVN	36	July 7, 2016	Alternative R&B	Jamila Woods	HEAVN	2016
Hamilton Leithauser + Rostam - I Had A Dream That You Were Mine	35	September 23, 2016	Indie Rock	Hamilton Leithauser + Rostam	I Had A Dream That You Were Mine	2016
Kevin Morby - Singing Saw	34	April 15, 2016	Folk Rock	Kevin Morby	Singing Saw	2016
Maxwell - blackSUMMERS'night	33	July 1, 2016	Neo-Soul	Maxwell	blackSUMMERS'night	2016
Elza Soares - A Mulher do Fim do Mundo	32	October 3, 2015	MPB	Elza Soares	A Mulher do Fim do Mundo	2016
Whitney - Light Upon The Lake	31	June 3, 2016	Indie Rock	Whitney	Light Upon The Lake	2016
Esperanza Spalding - Emily's D+Evolution	30	March 4, 2016	Jazz Fusion	Esperanza Spalding	Emily's D+Evolution	2016
Kaitlyn Aurelia Smith - EARS	29	April 1, 2016	Folktronica	Kaitlyn Aurelia Smith	EARS	2016
NxWorries - Yes Lawd!	28	October 21, 2016	Neo-Soul	NxWorries	Yes Lawd!	2016
Noname - Telefone	27	July 31, 2016	Hip Hop	Noname	Telefone	2016
Parquet Courts - Human Performance	26	April 8, 2016	Indie Rock	Parquet Courts	Human Performance	2016
KAYTRANADA - 99.9%	25	May 6, 2016	Electronic	KAYTRANADA	99.9%	2016
Car Seat Headrest - Teens of Denial	24	May 20, 2016	Indie Rock	Car Seat Headrest	Teens of Denial	2016
Jenny Hval - Blood Bitch	23	September 30, 2016	Art Pop	Jenny Hval	Blood Bitch	2016
YG - Still Brazy	22	June 17, 2016	Hip Hop	YG	Still Brazy	2016
Young Thug - Jeffery	21	August 26, 2016	Hip Hop	Young Thug	Jeffery	2016
Nicolas Jaar - Sirens	20	September 30, 2016	Ambient Pop	Nicolas Jaar	Sirens	2016
Rihanna - ANTI	19	January 27, 2016	R&B	Rihanna	ANTI	2016
Mitski - Puberty 2	18	June 17, 2016	Indie Rock	Mitski	Puberty 2	2016
Leonard Cohen - You Want It Darker	17	October 21, 2016	Singer-Songwriter	Leonard Cohen	You Want It Darker	2016
Kendrick Lamar - untitled unmastered.	16	March 4, 2016	Hip Hop	Kendrick Lamar	untitled unmastered.	2016
Nick Cave & The Bad Seeds - Skeleton Tree	15	September 9, 2016	Art Rock	Nick Cave & The Bad Seeds	Skeleton Tree	2016
Blood Orange - Freetown Sound	14	June 27, 2016	Alternative R&B	Blood Orange	Freetown Sound	2016
Anderson .Paak - Malibu	13	January 15, 2016	Neo-Soul	Anderson .Paak	Malibu	2016
Bon Iver - 22, A Million	12	September 30, 2016	Art Pop	Bon Iver	22, A Million	2016
Danny Brown - Atrocity Exhibition	11	September 27, 2016	Hip Hop	Danny Brown	Atrocity Exhibition	2016
Radiohead - A Moon Shaped Pool	10	May 8, 2016	Art Rock	Radiohead	A Moon Shaped Pool	2016
Angel Olsen - My Woman	9	September 2, 2016	Indie Rock	Angel Olsen	My Woman	2016
ANOHNI - Hopelessness	8	May 6, 2016	Art Pop	ANOHNI	Hopelessness	2016
A Tribe Called Quest - We got it from Here... Thank You 4 Your service	7	November 11, 2016	Hip Hop	A Tribe Called Quest	We got it from Here... Thank You 4 Your service	2016
Chance The Rapper - Coloring Book	6	May 13, 2016	Hip Hop	Chance The Rapper	Coloring Book	2016
Kanye West - The Life of Pablo	5	February 14, 2016	Hip Hop	Kanye West	The Life of Pablo	2016
David Bowie - Blackstar	4	January 8, 2016	Art Rock	David Bowie	Blackstar	2016
Beyoncé - Lemonade	3	April 23, 2016	R&B	Beyoncé	Lemonade	2016
Frank Ocean - Blonde	2	August 20, 2016	Alternative R&B	Frank Ocean	Blonde	2016
Solange - A Seat at the Table	1	September 30, 2016	Alternative R&B	Solange	A Seat at the Table	2016
Yaeji - Yaeji	50	March 31, 2017	Deep House	Yaeji	Yaeji	2017
Yaeji - EP2	50	November 3, 2017	Electronic	Yaeji	EP2	2017
Open Mike Eagle - Brick Body Kids Still Daydream	49	September 15, 2017	Hip Hop	Open Mike Eagle	Brick Body Kids Still Daydream	2017
(Sandy) Alex G - Rocket	48	May 19, 2017	Indie Rock	(Sandy) Alex G	Rocket	2017
Kehlani - SweetSexySavage	47	January 27, 2017	Alternative R&B	Kehlani	SweetSexySavage	2017
Laurel Halo - Dust	46	June 23, 2017	Ambient Pop	Laurel Halo	Dust	2017
Girlpool - Powerplant	45	May 12, 2017	Indie Pop	Girlpool	Powerplant	2017
Kaitlyn Aurelia Smith - The Kid	44	October 6, 2017	Art Pop	Kaitlyn Aurelia Smith	The Kid	2017
Lil B - Black Ken	43	August 17, 2017	Hip Hop	Lil B	Black Ken	2017
Vagabon - Infinite Worlds	42	February 24, 2017	Indie Rock	Vagabon	Infinite Worlds	2017
Zola Jesus - Okovi	41	September 8, 2017	Art Pop	Zola Jesus	Okovi	2017
The xx - I See You	40	January 13, 2017	Indie Pop	The xx	I See You	2017
Fleet Foxes - Crack-Up	39	June 16, 2017	Folk	Fleet Foxes	Crack-Up	2017
Drake - More Life	38	March 18, 2017	Hip Hop	Drake	More Life	2017
Julie Byrne - Not Even Happiness	37	January 27, 2017	Folk	Julie Byrne	Not Even Happiness	2017
Syd - Fin	36	February 3, 2017	Alternative R&B	Syd	Fin	2017
Playboi Carti - Playboi Carti	35	April 14, 2017	Hip Hop	Playboi Carti	Playboi Carti	2017
Mount Kimbie - Love What Survives	34	September 8, 2017	Future Garage	Mount Kimbie	Love What Survives	2017
Kelly Lee Owens - Kelly Lee Owens	33	March 24, 2017	Tech House	Kelly Lee Owens	Kelly Lee Owens	2017
Lana Del Rey - Lust for Life	32	July 21, 2017	Dream Pop	Lana Del Rey	Lust for Life	2017
Kamasi Washington - Harmony of Difference	31	September 29, 2017	Jazz	Kamasi Washington	Harmony of Difference	2017
Slowdive - Slowdive	30	May 5, 2017	Dream Pop	Slowdive	Slowdive	2017
Run the Jewels - Run the Jewels 3	29	December 25, 2016	Hip Hop	Run the Jewels	Run the Jewels 3	2017
Ibeyi - Ash	28	September 29, 2017	Art Pop	Ibeyi	Ash	2017
Future - HNDRXX	27	February 24, 2017	Hip Hop	Future	HNDRXX	2017
Jay Som - Everybody Works	26	March 10, 2017	Indie Rock	Jay Som	Everybody Works	2017
Priests - Nothing Feels Natural	25	January 27, 2017	Post-Punk	Priests	Nothing Feels Natural	2017
Thundercat - Drunk	24	February 24, 2017	Neo-Soul	Thundercat	Drunk	2017
Big Thief - Capacity	23	June 9, 2017	Indie Rock	Big Thief	Capacity	2017
St. Vincent - MASSEDUCTION	22	October 13, 2017	Art Pop	St. Vincent	MASSEDUCTION	2017
Arca - Arca	21	April 7, 2017	Art Pop	Arca	Arca	2017
Björk - Utopia	20	November 24, 2017	Art Pop	Björk	Utopia	2017
Migos - Culture	19	January 27, 2017	Hip Hop	Migos	Culture	2017
Julien Baker - Turn Out the Lights	18	October 27, 2017	Singer-Songwriter	Julien Baker	Turn Out the Lights	2017
Charlotte Gainsbourg - Rest	17	November 17, 2017	Art Pop	Charlotte Gainsbourg	Rest	2017
Perfume Genius - No Shape	16	May 5, 2017	Art Pop	Perfume Genius	No Shape	2017
Sampha - Process	15	February 3, 2017	Alternative R&B	Sampha	Process	2017
Mount Eerie - A Crow Looked at Me	14	March 24, 2017	Singer-Songwriter	Mount Eerie	A Crow Looked at Me	2017
Jay-Z - 4:44	13	June 30, 2017	Hip Hop	Jay-Z	4:44	2017
LCD Soundsystem - American Dream	12	September 1, 2017	Dance Punk	LCD Soundsystem	American Dream	2017
The War on Drugs - A Deeper Understanding	11	August 25, 2017	Heartland Rock	The War on Drugs	A Deeper Understanding	2017
Jlin - Black Origami	10	May 19, 2017	Footwork	Jlin	Black Origami	2017
